TransactionID,DeviceInfo
2987485,MacOS
2987488,Windows
2987489,Blade V6 Plus Build/MRA58K
2987490,iOS Device
2987499,Windows
2987504,Windows
2987505,MacOS
2987508,Windows
2987514,MacOS
2987515,Trident/7.0
2987517,BLL-L23 Build/HUAWEIBLL-L23
2987520,iOS Device
2987521,KYOCERA-C6742A Build/LMY47V
2987523,iOS Device
2987524,iOS Device
2987528,iOS Device
2987529,iOS Device
2987531,iOS Device
2987532,MacOS
2987535,Windows
2987543,Windows
2987544,iOS Device
2987551,F3113 Build/33.2.A.4.70
2987552,Trident/7.0
2987555,iOS Device
2987556,Windows
2987558,iOS Device
2987560,Windows
2987563,Windows
2987571,Windows
2987576,iOS Device
2987577,Windows
2987579,D5306 Build/19.4.A.0.182
2987582,Windows
2987584,Windows
2987585,Windows
2987590,Windows
2987592,Windows
2987596,Windows
2987598,Trident/7.0
2987601,iOS Device
2987602,Windows
2987603,Windows
2987605,Windows
2987607,Windows
2987608,KYOCERA-C6742A Build/LMY47V
2987610,iOS Device
2987612,Windows
2987617,M4 SS4457 Build/MRA58K
2987618,Windows
2987620,SM-G955U Build/NRD90M
2987621,MacOS
2987623,Windows
2987625,SM-G610M Build/MMB29K
2987630,Windows
2987635,Windows
2987637,Windows
2987641,SAMSUNG SM-G935F Build/NRD90M
2987643,Windows
2987648,Windows
2987653,Windows
2987664,Trident/7.0
2987672,Trident/7.0
2987683,Windows
2987689,Windows
2987694,MacOS
2987696,SM-G610M Build/MMB29K
2987698,MacOS
2987712,Windows
2987718,XT1635-01
2987724,Windows
2987726,iOS Device
2987730,Windows
2987732,MacOS
2987733,Windows
2987739,rv:56.0
2987741,SM-G950U Build/NRD90M
2987743,Windows
2987748,MacOS
2987751,Windows
2987752,Windows
2987754,VS500
2987758,CAM-L03 Build/HUAWEICAM-L03
2987763,RCT6303W87M7 Build/MRA58K
2987766,M4 SS4451 Build/LMY47D
2987769,Windows
2987771,iOS Device
2987774,iOS Device
2987777,Windows
2987779,KFFOWI Build/LVY48F
2987780,KFFOWI Build/LVY48F
2987781,KFFOWI Build/LVY48F
2987785,iOS Device
2987788,iOS Device
2987790,rv:56.0
2987792,Moto E (4) Build/NMA26.42-19
2987795,SAMSUNG
2987796,SM-G930V Build/NRD90M
2987800,E2306 Build/26.3.A.1.33
2987815,Windows
2987820,Windows
2987821,MacOS
2987825,Ilium L910 Build/MRA58K
2987828,Windows
2987829,Windows
2987831,iOS Device
2987834,Windows
2987837,SM-J700M Build/MMB29K
2987838,Windows
2987839,Windows
2987844,Windows
2987847,MacOS
2987848,GT-I9300
2987849,Windows
2987850,Windows
2987853,Windows
2987854,Windows
2987855,iOS Device
2987857,LG-H420 Build/LRX21Y
2987862,Windows
2987869,Windows NT 6.2
2987872,XT1032 Build/LPBS23.13-56-2
2987873,Windows
2987885,GT-I9060M Build/KTU84P
2987895,Trident/7.0
2987900,Trident/7.0
2987907,iOS Device
2987928,Trident/7.0
2987929,Windows
2987938,iOS Device
2987951,Windows
2987957,rv:38.0
2987964,Moto G (4) Build/NPJS25.93-14-10
2987965,iOS Device
2987969,iOS Device
2987989,Windows
2988008,Windows
2988015,iOS Device
2988018,iOS Device
2988021,iOS Device
2988028,Windows
2988033,Windows
2988038,Windows
2988062,Blade V6 Plus Build/MRA58K
2988064,Blade V6 Plus Build/MRA58K
2988080,Windows
2988083,SM-J700M Build/MMB29K
2988093,SM-G530T
2988140,LGMP260 Build/NRD90U
2988166,iOS Device
2988170,iOS Device
2988171,Windows
2988177,Windows
2988182,Windows
2988192,SM-E500M Build/KTU84P
2988204,iOS Device
2988209,Windows
2988211,Windows
2988221,Windows
2988227,Trident/7.0
2988246,SAMSUNG SM-G950U Build/NRD90M
2988257,Windows
2988267,Windows
2988304,Windows
2988311,Windows
2988312,Trident/7.0
2988339,Windows
2988340,iOS Device
2988342,iOS Device
2988356,Windows
2988368,rv:11.0
2988370,MacOS
2988378,Windows
2988380,Windows
2988389,Windows
2988393,Windows
2988396,iOS Device
2988431,Windows
2988448,iOS Device
2988449,Trident/7.0
2988451,Windows
2988469,Windows
2988475,MacOS
2988484,rv:57.0
2988495,Windows
2988512,MacOS
2988513,Windows
2988535,MacOS
2988549,SM-G920I Build/NRD90M
2988565,Windows
2988567,Windows
2988568,Windows
2988610,MacOS
2988621,iOS Device
2988622,Trident/7.0
2988623,Windows
2988655,Windows
2988663,Windows
2988667,Windows
2988672,Windows
2988678,Windows
2988688,Trident/7.0
2988690,iOS Device
2988696,iOS Device
2988698,rv:11.0
2988701,Windows
2988702,iOS Device
2988705,Windows
2988706,iOS Device
2988710,rv:11.0
2988713,iOS Device
2988714,Trident/7.0
2988717,iOS Device
2988719,iOS Device
2988737,Trident/7.0
2988740,Windows
2988745,Windows
2988746,Windows
2988749,Windows
2988752,Windows
2988754,SAMSUNG SM-G950U Build/NRD90M
2988755,Windows
2988760,SAMSUNG SM-G950U Build/NRD90M
2988768,Windows
2988769,Windows
2988778,Windows
2988783,Windows
2988800,MacOS
2988804,Trident/7.0
2988812,Windows
2988813,Windows
2988823,Windows
2988824,Windows
2988832,Windows
2988844,rv:11.0
2988855,Windows
2988863,MacOS
2988869,SAMSUNG SM-G950U Build/NRD90M
2988875,SAMSUNG SM-G950U Build/NRD90M
2988880,iOS Device
2988889,MacOS
2988893,Windows
2988894,iOS Device
2988902,Windows
2988905,Windows
2988922,MacOS
2988930,Windows
2988933,Windows
2988935,Windows
2988938,Windows
2988940,Windows
2988950,Trident/7.0
2988965,Windows
2988967,iOS Device
2988994,rv:11.0
2988997,iOS Device
2989002,Windows
2989003,Windows
2989029,Windows
2989066,Windows
2989067,Trident/7.0
2989070,Windows
2989091,rv:57.0
2989095,Windows
2989097,Windows
2989098,Windows
2989102,Windows
2989106,Trident/7.0
2989116,SAMSUNG SM-J327T Build/NRD90M
2989124,Windows
2989127,Trident/7.0
2989128,rv:52.0
2989129,MacOS
2989151,MacOS
2989164,iOS Device
2989168,SM-G900H Build/MMB29K
2989169,Windows
2989174,TRT-L53 Build/HUAWEITRT-L53
2989178,Windows
2989189,rv:57.0
2989194,Windows
2989201,iOS Device
2989202,rv:11.0
2989213,iOS Device
2989225,Android 6.0.1
2989249,iOS Device
2989260,iOS Device
2989263,iOS Device
2989271,Windows
2989280,Trident/7.0
2989290,iOS Device
2989291,rv:11.0
2989292,MacOS
2989300,Trident/7.0
2989303,Windows
2989310,iOS Device
2989316,iOS Device
2989318,iOS Device
2989320,Windows
2989328,MacOS
2989339,SM-J700M Build/MMB29K
2989340,Windows
2989347,Windows
2989349,iOS Device
2989361,Windows
2989363,Windows
2989374,Windows
2989376,Moto G Play Build/MPIS24.241-15.3-26
2989378,iOS Device
2989379,Windows
2989380,Windows
2989386,Trident/7.0
2989407,Windows
2989413,MacOS
2989433,Trident/7.0
2989434,MacOS
2989438,iOS Device
2989440,Windows
2989451,Windows
2989459,MacOS
2989468,Windows
2989481,Windows
2989491,Windows
2989496,Windows
2989498,Windows
2989500,Windows
2989502,Windows
2989505,Windows
2989507,Windows
2989512,Windows
2989519,Windows
2989522,MacOS
2989524,Windows
2989530,Nexus 6P Build/OPR5.170623.011
2989540,MacOS
2989551,Trident/7.0
2989552,rv:56.0
2989589,Windows
2989600,Windows
2989601,iOS Device
2989603,MacOS
2989604,Windows
2989618,Windows
2989619,MacOS
2989621,Windows
2989622,Windows
2989624,Trident/7.0
2989630,Windows
2989634,Windows
2989653,Windows
2989660,Trident/7.0
2989666,Windows
2989682,Windows
2989703,MacOS
2989728,Windows
2989730,Windows
2989734,Windows
2989738,MacOS
2989740,iOS Device
2989743,Trident/7.0
2989750,SGP521
2989757,Windows
2989758,VS988 Build/NRD90U
2989763,Windows
2989769,Windows
2989780,iOS Device
2989783,rv:11.0
2989786,Trident/7.0
2989788,SM-G531H Build/LMY48B
2989795,Windows
2989804,Windows
2989805,Trident/7.0
2989807,iOS Device
2989820,Trident/7.0
2989827,Windows
2989835,MacOS
2989840,Moto C Build/NRD90M.063
2989848,MacOS
2989850,MacOS
2989852,LG-K410 Build/LRX22G
2989855,Trident/7.0
2989857,Windows
2989861,Trident/7.0
2989870,Windows
2989872,Windows
2989880,MacOS
2989881,Windows
2989884,iOS Device
2989887,Windows
2989888,Trident/7.0
2989895,Trident/7.0
2989904,Windows
2989916,Windows
2989917,Trident/7.0
2989923,MacOS
2989935,Windows
2989945,iOS Device
2989949,Windows
2989953,SM-G935F Build/MMB29K
2989962,Windows
2989964,iOS Device
2989971,Windows
2989981,Windows
2989991,Windows
2990019,Moto C Plus Build/NRD90M.05.022
2990027,Trident/7.0
2990028,LG-X180g Build/LMY47I
2990036,Windows
2990038,Windows
2990043,Trident/7.0
2990046,iOS Device
2990055,iOS Device
2990056,Windows
2990059,Windows
2990063,MacOS
2990065,Windows
2990079,SM-G925P Build/NRD90M
2990090,Windows
2990111,es-us
2990113,iOS Device
2990114,Windows
2990116,Windows
2990118,iOS Device
2990130,iOS Device
2990131,Windows
2990133,Windows
2990136,Windows
2990144,Windows
2990149,Windows
2990159,MacOS
2990176,Windows
2990178,Windows
2990181,Windows
2990196,Windows
2990200,Windows
2990202,Windows
2990209,Trident/7.0
2990233,Windows
2990238,Windows
2990239,MacOS
2990250,Windows
2990257,Windows
2990266,MacOS
2990279,Windows
2990288,Windows
2990294,iOS Device
2990296,iOS Device
2990305,Windows
2990324,MacOS
2990326,Windows
2990328,Windows
2990337,MacOS
2990339,Windows
2990352,MacOS
2990355,SM-G920V Build/NRD90M
2990358,SM-G935T Build/NRD90M
2990363,Trident/7.0
2990364,SM-G935T Build/NRD90M
2990371,Moto E (4) Plus Build/NMA26.42-69
2990373,Trident/7.0
2990375,Trident/7.0
2990379,Windows
2990392,SM-G930V Build/NRD90M
2990393,Windows
2990402,iOS Device
2990407,Windows
2990412,MacOS
2990415,Windows
2990421,Windows
2990446,iOS Device
2990447,Windows
2990463,iOS Device
2990471,MacOS
2990479,Windows
2990482,Windows
2990487,iOS Device
2990493,Windows
2990494,Windows
2990495,Windows
2990511,Windows
2990523,Windows
2990524,Windows
2990531,iOS Device
2990532,Windows
2990540,rv:11.0
2990543,Trident/7.0
2990545,Windows
2990549,Windows
2990559,Blade V6 Plus Build/MRA58K
2990565,Windows
2990567,iOS Device
2990574,Windows
2990582,Windows
2990589,rv:52.0
2990613,Trident/7.0
2990625,Trident/7.0
2990634,Trident/7.0
2990645,iOS Device
2990648,Windows
2990652,Windows
2990654,iOS Device
2990657,Windows
2990659,Windows
2990662,Windows
2990676,Windows
2990683,Windows
2990684,Windows
2990689,Windows
2990690,Windows
2990692,Trident/7.0
2990698,KFFOWI Build/LVY48F
2990704,KFFOWI Build/LVY48F
2990706,KFFOWI Build/LVY48F
2990719,Windows
2990727,Windows
2990730,SM-G925W8
2990731,Windows
2990738,M4 SS4451 Build/LMY47D
2990739,iOS Device
2990751,iOS Device
2990755,Trident/7.0
2990761,rv:48.0
2990763,Windows
2990765,MacOS
2990772,Windows
2990779,Windows
2990785,SAMSUNG-SM-G930A Build/NRD90M
2990786,Windows
2990793,iOS Device
2990796,iOS Device
2990807,Windows
2990811,Windows
2990813,MacOS
2990820,Windows
2990827,iOS Device
2990835,iOS Device
2990842,Windows
2990851,iOS Device
2990858,Windows
2990859,MacOS
2990864,Windows
2990865,Windows
2990869,iOS Device
2990870,Windows
2990872,MacOS
2990874,Windows
2990882,rv:57.0
2990885,Windows
2990890,Windows
2990899,rv:56.0
2990901,Trident/7.0
2990906,iOS Device
2990909,iOS Device
2990914,Windows
2990917,Windows
2990925,Windows
2990926,MacOS
2990932,Windows
2990936,Windows
2990938,Windows
2990953,Windows
2990957,SAMSUNG
2990960,Windows
2990962,Windows
2990965,iOS Device
2990974,Windows
2990992,HTC One M9 Build/NRD90M
2991002,Windows
2991010,Windows
2991013,Windows
2991017,Trident/7.0
2991027,Trident/7.0
2991028,rv:11.0
2991031,Windows
2991037,rv:57.0
2991040,Windows
2991058,Windows
2991064,MacOS
2991070,Windows
2991076,Windows
2991078,Windows
2991080,Windows
2991089,Windows
2991092,Windows
2991093,Windows
2991100,Windows
2991102,MacOS
2991105,rv:11.0
2991106,Windows
2991108,Windows
2991133,iOS Device
2991142,7055A Build/KVT49L
2991153,Windows
2991158,iOS Device
2991188,Windows
2991191,Moto G Play Build/MPIS24.241-15.3-7
2991196,iOS Device
2991200,Trident/7.0
2991205,Windows
2991209,Windows
2991220,MacOS
2991223,Windows
2991228,Windows
2991231,Trident/7.0
2991237,Trident/7.0
2991241,Trident/7.0
2991248,Windows
2991256,Windows
2991262,SM-T810 Build/NRD90M
2991281,Windows
2991283,Trident/7.0
2991285,Trident/7.0
2991291,iOS Device
2991293,iOS Device
2991295,Windows
2991297,iOS Device
2991300,Windows
2991302,Trident/7.0
2991309,Windows
2991320,Windows
2991325,iOS Device
2991334,Windows
2991344,Windows
2991348,Windows
2991359,Windows
2991360,iOS Device
2991371,iOS Device
2991373,Windows
2991376,Windows
2991380,Windows
2991386,Windows
2991389,Windows
2991393,Trident/7.0
2991397,Windows
2991399,Windows
2991404,MacOS
2991412,iOS Device
2991423,iOS Device
2991424,MacOS
2991427,MacOS
2991432,MacOS
2991436,MacOS
2991439,Windows
2991440,Trident/7.0
2991441,iOS Device
2991446,iOS Device
2991452,iOS Device
2991464,rv:51.0
2991475,iOS Device
2991476,iOS Device
2991480,Trident/7.0
2991490,Windows
2991496,iOS Device
2991502,SAMSUNG
2991520,Windows
2991522,Windows
2991550,iOS Device
2991577,Windows
2991584,Trident/7.0
2991594,Windows
2991599,Windows
2991602,iOS Device
2991608,MacOS
2991634,Windows
2991645,SAMSUNG SM-J327T Build/NRD90M
2991650,SAMSUNG SM-J327T Build/NRD90M
2991669,Windows
2991677,Windows
2991689,Windows
2991720,Windows
2991734,Windows
2991741,Trident/7.0
2991747,Windows
2991755,Trident/7.0
2991769,iOS Device
2991775,rv:48.0
2991779,rv:48.0
2991785,iOS Device
2991788,iOS Device
2991792,Windows
2991807,Windows
2991813,Windows
2991828,SM-N910V Build/MMB29M
2991832,iOS Device
2991842,Windows
2991844,Windows
2991848,Windows
2991861,Windows
2991863,Windows
2991864,Windows
2991865,Windows
2991877,Windows
2991884,Windows
2991886,Windows
2991887,Windows
2991890,iOS Device
2991898,MacOS
2991916,LG-K410 Build/LRX22G
2991918,Windows
2991920,iOS Device
2991928,Windows
2991929,MacOS
2991935,Windows
2991938,Windows
2991939,iOS Device
2991945,iOS Device
2991954,iOS Device
2991955,Windows
2991972,Windows
2991991,Windows
2991992,iOS Device
2991995,Windows
2992015,SM-G930T Build/NRD90M
2992030,rv:11.0
2992037,Windows
2992038,Moto G Play Build/MPIS24.241-15.3-7
2992049,SAMSUNG
2992052,Trident/7.0
2992055,Windows
2992056,Windows
2992062,SAMSUNG
2992071,LG-H870 Build/NRD90U
2992078,Windows
2992080,KFFOWI Build/LVY48F
2992082,iOS Device
2992090,Windows
2992102,SAMSUNG SM-G950U1 Build/NRD90M
2992113,Windows
2992116,MacOS
2992135,SAMSUNG SM-S727VL Build/MMB29M
2992145,iOS Device
2992148,SM-G950U Build/NRD90M
2992149,Windows
2992159,SM-J700M Build/MMB29K
2992164,iOS Device
2992173,iOS Device
2992174,SM-N920G Build/NRD90M
2992177,Windows
2992184,Windows
2992188,Windows
2992189,Windows
2992195,Windows
2992198,Windows
2992202,Moto G (5) Plus Build/NPN25.137-72
2992207,iOS Device
2992210,Windows
2992213,Windows
2992226,Windows
2992236,MacOS
2992241,MacOS
2992243,Windows
2992249,Windows
2992260,Windows
2992261,Windows
2992266,Windows
2992276,Trident/7.0
2992285,Windows
2992286,Windows
2992294,Windows
2992297,Moto G (5) Build/NPP25.137-72
2992305,Windows
2992320,Windows
2992328,SM-J700M Build/MMB29K
2992331,Windows
2992332,Windows
2992342,Windows
2992344,MacOS
2992358,SM-G935F Build/NRD90M
2992382,Windows
2992404,Windows
2992406,MacOS
2992407,Trident/7.0
2992411,iOS Device
2992414,rv:11.0
2992434,Trident/7.0
2992439,SAMSUNG SM-G950U Build/NRD90M
2992447,Windows
2992466,Windows
2992472,iOS Device
2992474,Trident/7.0
2992483,Windows
2992490,Windows
2992493,iOS Device
2992495,Windows
2992496,MacOS
2992501,Windows
2992502,Windows
2992503,Windows
2992509,Windows
2992525,Windows
2992538,iOS Device
2992540,Windows
2992544,LG-D373 Build/KOT49I.V10a
2992547,iOS Device
2992549,Windows
2992550,Windows
2992553,ALE-L23 Build/HuaweiALE-L23
2992564,iOS Device
2992569,Windows
2992572,iOS Device
2992577,Z836BL
2992583,iOS Device
2992594,Ilium X710 Build/MRA58K
2992598,Windows
2992602,Windows
2992605,Windows
2992608,LG-D680 Build/KOT49I
2992615,LG-D680 Build/KOT49I
2992617,LG-D680 Build/KOT49I
2992620,Trident/7.0
2992621,LG-D680 Build/KOT49I
2992626,LG-D680 Build/KOT49I
2992627,M4 SS4450 Build/MRA58K
2992629,iOS Device
2992631,LG-D680 Build/KOT49I
2992632,LG-D680 Build/KOT49I
2992636,Windows
2992642,Windows
2992646,LGMP260 Build/NRD90U
2992648,LG-K580 Build/MRA58K
2992649,SM-G935F Build/NRD90M
2992658,LGMP260 Build/NRD90U
2992659,SM-J700M Build/LMY48B
2992660,Windows
2992661,LGMP260 Build/NRD90U
2992666,Trident/7.0
2992671,MacOS
2992673,Windows
2992677,iOS Device
2992680,Windows
2992689,Windows
2992691,iOS Device
2992694,SM-A710M
2992698,Trident/7.0
2992700,Windows
2992704,Windows
2992706,iOS Device
2992708,Moto Z2 Play Build/NPSS26.118-19-6
2992709,rv:56.0
2992710,Windows
2992712,MacOS
2992714,Windows
2992720,Windows
2992722,Moto G (4) Build/NPJ25.93-14.5
2992726,Windows
2992731,Z981 Build/MMB29M
2992733,Windows
2992741,iOS Device
2992743,Windows
2992744,MacOS
2992766,Windows
2992768,Windows
2992773,Windows
2992774,SM-T710 Build/NRD90M
2992777,SAMSUNG
2992786,MacOS
2992787,iOS Device
2992791,SM-T700 Build/MMB29K
2992792,iOS Device
2992793,iOS Device
2992796,iOS Device
2992797,iOS Device
2992801,MacOS
2992807,Windows
2992815,iOS Device
2992822,iOS Device
2992823,iOS Device
2992824,MacOS
2992838,Windows
2992841,iOS Device
2992850,Windows
2992851,MacOS
2992852,Windows
2992876,ONE TOUCH 4033A Build/JDQ39
2992880,iOS Device
2992894,Windows
2992896,Windows
2992901,MacOS
2992903,Windows
2992906,SM-J700M Build/LMY48B
2992911,F5121 Build/34.3.A.0.228
2992920,Windows
2992924,Windows
2992937,Windows
2992949,MacOS
2992953,WAS-LX3 Build/HUAWEIWAS-LX3
2992972,Trident/7.0
2992974,Windows
2992980,MacOS
2992987,MacOS
2992989,R8106
2992993,iOS Device
2992994,MacOS
2993001,MotoG3 Build/MPIS24.65-33.1-2-16
2993003,SM-G925I Build/MMB29K
2993004,HUAWEI VNS-L53 Build/HUAWEIVNS-L53
2993007,MacOS
2993008,Windows
2993025,iOS Device
2993026,Windows
2993027,MacOS
2993031,Windows
2993032,iOS Device
2993033,iOS Device
2993045,Windows
2993052,Trident/7.0
2993053,Windows
2993058,iOS Device
2993059,Windows
2993064,Windows
2993069,Blade V6 Build/LRX22G
2993074,SM-T113NU Build/KTU84P
2993076,SAMSUNG SM-G530H Build/LRX22G
2993078,iOS Device
2993079,iOS Device
2993088,Moto G Play Build/MPIS24.241-15.3-26
2993092,SM-J510MN Build/MMB29M
2993093,iOS Device
2993094,iOS Device
2993101,SM-G950F Build/NRD90M
2993102,iOS Device
2993107,Moto G (4) Build/NPJS25.93-14-10
2993110,Moto G (4) Build/NPJS25.93-14-10
2993111,iOS Device
2993114,SAMSUNG SM-J700M Build/MMB29K
2993120,Moto G (4) Build/NPJS25.93-14-10
2993121,CAM-L03 Build/HUAWEICAM-L03
2993122,Moto G (4) Build/NPJS25.93-14-10
2993138,iOS Device
2993143,iOS Device
2993147,iOS Device
2993150,Windows
2993154,SM-G935F Build/NRD90M
2993157,MacOS
2993163,SM-G570M Build/MMB29K
2993165,iOS Device
2993167,SAMSUNG-SM-G891A Build/NRD90M
2993168,Windows
2993170,Windows
2993171,Windows
2993175,iOS Device
2993178,Windows
2993182,Windows
2993188,Windows
2993189,SM-G531H Build/LMY48B
2993192,SM-J500M Build/LMY48B
2993203,Windows
2993204,XT1032 Build/LPBS23.13-56-2
2993205,SM-J727U Build/NRD90M
2993208,Windows
2993210,LGLS676 Build/MXB48T
2993211,LGLS676 Build/MXB48T
2993215,LGLS676 Build/MXB48T
2993220,Windows
2993224,Windows
2993226,Windows
2993242,Windows
2993249,iOS Device
2993260,Moto G (4) Build/NPJS25.93-14-10
2993262,MacOS
2993263,MacOS
2993264,MacOS
2993272,iOS Device
2993278,TA-1003
2993284,iOS Device
2993286,Moto C Build/NRD90M.063
2993291,Windows
2993293,SM-G900V Build/MMB29M
2993294,iOS Device
2993296,iOS Device
2993298,Windows
2993305,MacOS
2993310,Windows
2993312,Trident/7.0
2993320,Trident/7.0
2993328,SM-G955U Build/NRD90M
2993341,iOS Device
2993344,Trident/7.0
2993345,iOS Device
2993352,MacOS
2993362,iOS Device
2993364,Trident/7.0
2993371,Windows
2993376,iOS Device
2993382,VK810
2993383,iOS Device
2993384,MacOS
2993388,MacOS
2993390,Windows
2993394,Windows
2993395,Windows
2993404,Windows
2993409,KFASWI Build/LVY48F
2993411,Windows
2993412,SM-G935F Build/NRD90M
2993417,iOS Device
2993428,iOS Device
2993429,Windows
2993434,Windows
2993445,Windows
2993449,Trident/7.0
2993450,iOS Device
2993460,iOS Device
2993477,SM-J320M Build/LMY47V
2993481,Windows
2993488,Windows
2993491,MacOS
2993497,Trident/7.0
2993511,MacOS
2993513,Windows
2993516,Windows
2993525,Windows
2993526,MacOS
2993528,rv:52.0
2993531,rv:52.0
2993554,BLL-L23 Build/HUAWEIBLL-L23
2993556,Windows
2993574,Trident/7.0
2993581,Windows
2993587,iOS Device
2993590,iOS Device
2993593,iOS Device
2993595,iOS Device
2993597,iOS Device
2993609,rv:57.0
2993611,Windows
2993624,Windows
2993628,Windows
2993630,Windows
2993636,Windows
2993637,Windows
2993638,MacOS
2993647,Windows
2993657,Windows
2993666,SM-J120H Build/LMY47V
2993676,Windows
2993690,Windows
2993707,Windows
2993713,Windows
2993716,Trident/7.0
2993718,Windows
2993723,Windows
2993732,Windows
2993733,Windows
2993742,MacOS
2993746,Windows
2993747,iOS Device
2993750,Windows
2993754,Windows
2993756,SM-N950U Build/NMF26X
2993761,SM-N950U Build/NMF26X
2993762,MacOS
2993763,Trident/7.0
2993771,MacOS
2993780,MacOS
2993789,Windows
2993791,iOS Device
2993792,Windows
2993796,Windows
2993798,Windows
2993803,Windows
2993805,iOS Device
2993812,iOS Device
2993818,Windows
2993823,iOS Device
2993825,Windows
2993829,Windows
2993833,iOS Device
2993834,LG-D693n Build/LRX22G
2993835,Windows
2993836,MacOS
2993843,HUAWEI RIO-L03 Build/HUAWEIRIO-L03
2993845,Windows
2993851,iOS Device
2993853,Windows
2993855,Windows
2993858,Windows
2993859,Windows
2993864,Windows
2993868,Windows
2993870,Trident/7.0
2993878,Windows
2993883,Windows
2993887,iOS Device
2993888,Trident/7.0
2993889,iOS Device
2993900,iOS Device
2993931,Windows
2993933,iOS Device
2993934,iOS Device
2993936,Windows
2993937,iOS Device
2993938,Windows
2993940,Windows
2993959,MacOS
2993963,MacOS
2993973,Trident/7.0
2993981,Windows
2993983,Windows
2993986,iOS Device
2993988,Windows
2994000,Trident/7.0
2994004,SAMSUNG SM-G930A Build/NRD90M
2994006,5012G Build/MRA58K
2994036,Windows
2994043,Trident/7.0
2994070,MacOS
2994076,MacOS
2994086,iOS Device
2994092,SM-G935F Build/NRD90M
2994101,MacOS
2994108,Windows
2994110,Windows
2994114,Trident/7.0
2994115,MacOS
2994121,Windows
2994123,Windows
2994126,Windows
2994135,MacOS
2994137,Windows
2994138,Windows
2994139,rv:52.0
2994157,Windows
2994159,Trident/7.0
2994161,BLL-L23 Build/HUAWEIBLL-L23
2994170,MacOS
2994171,Trident/7.0
2994176,MacOS
2994179,rv:57.0
2994180,Windows
2994181,Windows
2994186,Windows
2994202,iOS Device
2994206,iOS Device
2994214,Moto G Play Build/MPIS24.241-15.3-26
2994225,SAMSUNG
2994231,Windows
2994234,MacOS
2994238,Windows
2994241,SM-P350 Build/MMB29M
2994258,MacOS
2994266,Trident/7.0
2994269,Moto G (5) Build/NPP25.137-72
2994272,SM-G610M Build/MMB29K
2994274,iOS Device
2994275,Trident/7.0
2994277,Trident/7.0
2994280,MacOS
2994282,SM-G610M Build/MMB29K
2994286,MacOS
2994295,Windows
2994302,SM-G610M Build/MMB29K
2994303,iOS Device
2994317,MacOS
2994322,MacOS
2994327,Windows
2994334,Windows
2994347,MacOS
2994348,iOS Device
2994349,Windows
2994353,Windows
2994360,Windows
2994362,Windows
2994366,Windows
2994372,Trident/7.0
2994375,MacOS
2994379,SM-A300H Build/LRX22G
2994382,SM-A300H Build/LRX22G
2994391,Windows
2994411,Trident/7.0
2994418,Windows
2994421,Moto
2994446,rv:57.0
2994447,iOS Device
2994450,iOS Device
2994458,Trident/7.0
2994460,iOS Device
2994464,Trident/7.0
2994471,iOS Device
2994472,iOS Device
2994475,Windows
2994478,iOS Device
2994482,Windows
2994483,MacOS
2994484,Windows
2994496,iOS Device
2994510,Windows
